id,batting_average,batting_strike_rate,batting_100s_normalized,batting_50s_normalized,batting_6s_normalized,batting_4s_normalized,batting_highest_score,batting_not_outs_normalized,bowling_average,bowling_strike_rate,bowling_economy,bowling_maidens_normalized,identifier
1233047,27.05,163.93,0.0,0.2,1.1,2.3,91.0,0.0,0.0,0.0,0.0,0.0,c28a293e
469130,22.05,120.96,0.0,0.0454545454545454,0.2272727272727272,1.6363636363636365,0.0,0.2272727272727272,0.0,0.0,16.0,0.0,8209da53
1183926,10.0,54.05,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,300bdcbb
420490,1.33,28.57,0.0,0.0,0.0,0.0,0.0,0.4,22.95,24.7,5.56,0.0105820105820105,2b7609f1
914503,15.66,162.06,0.0,0.0,0.75,0.75,0.0,0.25,13.62,18.0,4.54,0.0416666666666666,c01d7726
961407,23.0,126.02,0.0,0.0666666666666666,0.4666666666666667,1.3777777777777778,0.0,0.2,0.0,0.0,0.0,0.0,59ea70a4
1273276,10.0,68.96,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,452024ef
1271976,5.0,83.33,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8787dd53
628240,24.62,118.31,0.0,0.1111111111111111,0.2777777777777778,2.055555555555556,63.0,0.1111111111111111,13.5,9.0,9.0,0.0,bb4b445b
1301596,0.0,57.69,0.0,0.0,0.0,0.0,0.0,1.0,53.0,35.6,8.91,0.0,65a29a30
1204130,13.31,98.61,0.0,0.0,0.4705882352941176,0.9411764705882352,41.0,0.0588235294117647,22.57,18.1,7.44,0.0157728706624605,11f56b14
390481,12.83,135.08,0.0,0.0,0.3,0.9,18.0,0.4,26.96,17.5,9.2,0.0,f986ca1a
781133,2.0,44.44,0.0,0.0,0.0,0.0,3.0,0.0,15.5,6.0,15.5,0.0,709cb7f0
1233053,24.84,115.21,0.0294117647058823,0.1176470588235294,1.088235294117647,2.117647058823529,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,58973aaf
348016,29.85,100.37,0.0,0.1714285714285714,0.3142857142857143,2.1714285714285717,0.0,0.2285714285714285,0.0,0.0,0.0,0.0,ca92a578
520164,5.33,133.33,0.0,0.0,0.0,0.6666666666666666,10.0,0.0,53.0,24.0,13.25,0.0,663ad386
1323405,2.0,33.33,0.0,0.0,0.0,0.0,0.0,0.5,12.0,6.0,12.0,0.0,716bd716
746429,6.86,78.03,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,27.7,21.3,7.8,0.0140845070422535,4add4c98
1271982,12.0,100.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,21.75,16.5,7.9,0.0,c311564c
522743,6.0,39.56,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,49.66,34.0,8.76,0.0,98514dce
1325907,2.5,62.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,f8ef3653
1143567,5.12,63.07,0.0,0.0,0.0,0.2142857142857142,0.0,0.4285714285714285,22.6,20.5,6.61,0.0,7267e3cd
921509,30.27,107.41,0.0,0.0714285714285714,0.6428571428571429,1.9285714285714288,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,d4550956
749499,17.25,146.8,0.0,0.0,1.0,1.5,49.0,0.0,16.57,14.5,6.82,0.0,119007ef
417375,28.09,111.15,0.0,0.1538461538461538,0.6153846153846154,2.4615384615384617,52.0,0.1538461538461538,0.0,0.0,0.0,0.0,580ae7f2
1143140,18.5,97.36,0.0,0.0,0.5,2.0,37.0,0.0,13.0,13.5,5.77,0.0,c156cc1f
403317,28.0,129.23,0.0,0.0,1.5,0.75,32.0,0.25,22.5,12.5,10.8,0.0,78f719ea
51246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.5,0.0,a7489342
1284219,20.2,136.48,0.0,0.0,1.2,1.8,42.0,0.0,0.0,0.0,0.0,0.0,d5b52676
1198935,2.5,34.48,0.0,0.0,0.0,0.0,5.0,0.0,14.8,13.2,6.72,0.0,4d0d5b7d
38108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33,13.0,8.92,0.0,78f34e15
1281561,16.66,138.88,0.0,0.0,1.0,0.75,22.0,0.25,0.0,0.0,15.0,0.0,0a5718ef
480603,27.09,125.73,0.0,0.064516129032258,0.6774193548387096,1.4193548387096775,0.0,0.2903225806451613,74.0,62.6,7.08,0.0,29e253dd
40591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,48.0,8.37,0.0,6adf9347
36331,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,20.91,15.5,8.06,0.0168350168350168,b68a30f0
334340,23.5,90.38,0.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,8.9,13.8,3.86,0.1304347826086956,4167f30b
1190202,3.66,29.72,0.0,0.0,0.0,0.3333333333333333,5.0,0.0,22.5,15.0,9.0,0.0,d0111079
23725,4.5,45.0,0.0,0.0,0.0,0.0,8.0,0.0,10.5,11.0,5.72,0.0,54725e8b
703323,20.0,142.85,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,5aeab54c
1286455,31.3,158.36,0.0,0.1333333333333333,1.3333333333333333,3.2,81.0,0.1333333333333333,0.0,0.0,0.0,0.0,b2dadc51
1198948,13.46,94.08,0.0,0.0,0.4375,1.0,40.0,0.1875,17.08,14.3,7.15,0.0,dc1dd6c4
47623,23.0,95.83,0.0,0.1428571428571428,0.4285714285714285,1.2857142857142858,51.0,0.1428571428571428,0.0,0.0,0.0,0.0,ac7fa28f
465327,14.87,85.61,0.0,0.125,0.25,1.0,54.0,0.0,0.0,0.0,5.0,0.0,5ad8c974
514768,3.0,42.85,0.0,0.0,0.0,0.0,5.0,0.1428571428571428,0.0,0.0,12.5,0.0,514628bd
1082750,12.5,75.75,0.0,0.0,0.0,1.5,16.0,0.0,0.0,0.0,0.0,0.0,e3c88145
1338587,5.5,84.61,0.0,0.0,0.25,0.0,0.0,0.5,7.78,8.0,5.83,0.0,190957d2
1082742,13.66,78.09,0.0,0.0,0.1428571428571428,1.0,35.0,0.1428571428571428,10.0,12.0,5.0,0.0,4d7c5b56
346538,4.0,43.24,0.0,0.0,0.0,0.0,7.0,0.0,13.83,14.0,5.92,0.0,98614193
32685,24.57,119.44,0.0,0.0,0.5,0.6428571428571429,0.0,0.5,22.07,16.5,8.02,0.0129870129870129,5fa06777
429668,16.6,101.21,0.0,0.0,0.6363636363636364,1.3636363636363635,44.0,0.0909090909090909,0.0,0.0,0.0,0.0,826e1017
1192939,2.0,66.66,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,16.72,13.0,7.66,0.0,42a01b52
1323431,24.0,150.0,0.0,0.0,0.5,1.25,0.0,0.5,16.66,14.0,7.14,0.0,357484e9
